"","Comparison","Taxa","Method","Group","LDA","P.unadj","P.adj","Significance"
"k__Bacteria|p__Thermodesulfobacteriota|c__Desulfobacteria","February - September","k__Bacteria|p__Thermodesulfobacteriota|c__Desulfobacteria","LEfSe","February",3.78573817102948,0.000658337169557231,0.00272261473511804,"**"
"k__Bacteria|p__Chloroflexota","February - September","k__Bacteria|p__Chloroflexota","LEfSe","February",3.76933889309682,0.00323491191691468,0.0085795489970346,"**"
"k__Bacteria|p__Chloroflexota|c__Anaerolineae","February - September","k__Bacteria|p__Chloroflexota|c__Anaerolineae","LEfSe","February",3.76933889309682,0.00323491191691468,0.0085795489970346,"**"
"k__Bacteria|p__Actinomycetota|c__Actinobacteria|o__Micrococcales","February - September","k__Bacteria|p__Actinomycetota|c__Actinobacteria|o__Micrococcales","LEfSe","September",3.76700633829792,0.00221369195459139,0.00665118396981491,"**"
"k__Bacteria|p__Actinomycetota|c__Actinobacteria|o__Micrococcales|f__Intrasporangiaceae","February - September","k__Bacteria|p__Actinomycetota|c__Actinobacteria|o__Micrococcales|f__Intrasporangiaceae","LEfSe","September",3.76700633829792,0.00221369195459139,0.00665118396981491,"**"
"k__Bacteria|p__Thermodesulfobacteriota|c__Desulfobacteria|o__Desulfobacterales","February - September","k__Bacteria|p__Thermodesulfobacteriota|c__Desulfobacteria|o__Desulfobacterales","LEfSe","February",3.73590647081105,0.00053200550513925,0.00227735689919258,"**"
"k__Bacteria|p__Pseudomonadota|c__Gammaproteobacteria|o__Chromatiales","February - September","k__Bacteria|p__Pseudomonadota|c__Gammaproteobacteria|o__Chromatiales","LEfSe","February",3.73501165879592,0.00119440390860437,0.00448360851845335,"**"
"k__Bacteria|p__Thermodesulfobacteriota|c__Desulfobacteria|o__Desulfobacterales|f__Desulfosarcinaceae","February - September","k__Bacteria|p__Thermodesulfobacteriota|c__Desulfobacteria|o__Desulfobacterales|f__Desulfosarcinaceae","LEfSe","February",3.72907841157129,0.000138679405429489,0.000966793569279863,"***"
"k__Bacteria|p__Verrucomicrobiota|c__Verrucomicrobiia|o__Verrucomicrobiales","February - September","k__Bacteria|p__Verrucomicrobiota|c__Verrucomicrobiia|o__Verrucomicrobiales","LEfSe","February",3.71296132269636,0.000212980282591558,0.00136755760400895,"**"
"k__Bacteria|p__Rhodothermota|c__Rhodothermia|o__Rhodothermales|f__Rhodothermaceae|g__Rubricoccus","February - September","k__Bacteria|p__Rhodothermota|c__Rhodothermia|o__Rhodothermales|f__Rhodothermaceae|g__Rubricoccus","LEfSe","September",3.7063961613634,0.000136829833138274,0.000966793569279863,"***"
"k__Bacteria|p__Campylobacterota","February - September","k__Bacteria|p__Campylobacterota","LEfSe","February",3.68439812208036,0.00225760616769351,0.00665118396981491,"**"
"k__Bacteria|p__Campylobacterota|c__Campylobacteria","February - September","k__Bacteria|p__Campylobacterota|c__Campylobacteria","LEfSe","February",3.68439812208036,0.00225760616769351,0.00665118396981491,"**"
"k__Bacteria|p__Campylobacterota|c__Campylobacteria|o__Campylobacterales","February - September","k__Bacteria|p__Campylobacterota|c__Campylobacteria|o__Campylobacterales","LEfSe","February",3.68439812208036,0.00225760616769351,0.00665118396981491,"**"
"k__Bacteria|p__Campylobacterota|c__Campylobacteria|o__Campylobacterales|f__Sulfurovaceae","February - September","k__Bacteria|p__Campylobacterota|c__Campylobacteria|o__Campylobacterales|f__Sulfurovaceae","LEfSe","February",3.68439812208036,0.00225760616769351,0.00665118396981491,"**"
"k__Bacteria|p__Campylobacterota|c__Campylobacteria|o__Campylobacterales|f__Sulfurovaceae|g__Sulfurovum","February - September","k__Bacteria|p__Campylobacterota|c__Campylobacteria|o__Campylobacterales|f__Sulfurovaceae|g__Sulfurovum","LEfSe","February",3.68439812208036,0.00225760616769351,0.00665118396981491,"**"
"k__Bacteria|p__Pseudomonadota|c__Alphaproteobacteria|o__Caulobacterales|f__Parvularculaceae|g__Parvularcula","February - September","k__Bacteria|p__Pseudomonadota|c__Alphaproteobacteria|o__Caulobacterales|f__Parvularculaceae|g__Parvularcula","LEfSe","September",3.67108428634036,0.00149201744572681,0.00507033453747105,"**"
"k__Bacteria|p__Acidobacteriota|c__Thermoanaerobaculia","February - September","k__Bacteria|p__Acidobacteriota|c__Thermoanaerobaculia","LEfSe","February",3.66922838636499,0.00149616428974556,0.00507033453747105,"**"
"k__Bacteria|p__Acidobacteriota|c__Thermoanaerobaculia|o__Thermoanaerobaculales","February - September","k__Bacteria|p__Acidobacteriota|c__Thermoanaerobaculia|o__Thermoanaerobaculales","LEfSe","February",3.66922838636499,0.00149616428974556,0.00507033453747105,"**"
"k__Bacteria|p__Acidobacteriota|c__Thermoanaerobaculia|o__Thermoanaerobaculales|f__Thermoanaerobaculaceae","February - September","k__Bacteria|p__Acidobacteriota|c__Thermoanaerobaculia|o__Thermoanaerobaculales|f__Thermoanaerobaculaceae","LEfSe","February",3.66922838636499,0.00149616428974556,0.00507033453747105,"**"
"k__Bacteria|p__Acidobacteriota|c__Thermoanaerobaculia|o__Thermoanaerobaculales|f__Thermoanaerobaculaceae|g__Subgroup_10","February - September","k__Bacteria|p__Acidobacteriota|c__Thermoanaerobaculia|o__Thermoanaerobaculales|f__Thermoanaerobaculaceae|g__Subgroup_10","LEfSe","February",3.66922838636499,0.00149616428974556,0.00507033453747105,"**"
"k__Bacteria|p__Acidobacteriota","February - September","k__Bacteria|p__Acidobacteriota","LEfSe","February",3.66725007402177,0.00323491191691468,0.0085795489970346,"**"
"k__Bacteria|p__Pseudomonadota|c__Alphaproteobacteria|o__Sphingomonadales|f__Sphingomonadaceae|g__Paraurantiacibacter","February - September","k__Bacteria|p__Pseudomonadota|c__Alphaproteobacteria|o__Sphingomonadales|f__Sphingomonadaceae|g__Paraurantiacibacter","LEfSe","September",3.65795360834876,1.62868849381811e-05,0.000562183225231056,"***"
"k__Bacteria|p__Bacteroidota|c__Bacteroidia|o__Flavobacteriales|f__Flavobacteriaceae|g__Robiginitalea","February - September","k__Bacteria|p__Bacteroidota|c__Bacteroidia|o__Flavobacteriales|f__Flavobacteriaceae|g__Robiginitalea","LEfSe","February",3.65745327578428,3.10006601520041e-05,0.000562183225231056,"***"
"k__Bacteria|p__Pseudomonadota|c__Alphaproteobacteria|o__Caulobacterales|f__Parvularculaceae","February - September","k__Bacteria|p__Pseudomonadota|c__Alphaproteobacteria|o__Caulobacterales|f__Parvularculaceae","LEfSe","September",3.65580065772211,0.00161368512253014,0.00539368725886787,"**"
"k__Bacteria|p__Planctomycetota|c__Planctomycetes|o__Planctomycetales","February - September","k__Bacteria|p__Planctomycetota|c__Planctomycetes|o__Planctomycetales","LEfSe","February",3.63251696673578,0.000340076171946725,0.00186610036307929,"**"
"k__Bacteria|p__Pseudomonadota|c__Gammaproteobacteria|o__Pseudomonadales|f__Halieaceae","February - September","k__Bacteria|p__Pseudomonadota|c__Gammaproteobacteria|o__Pseudomonadales|f__Halieaceae","LEfSe","February",3.62213139228929,8.63766759472281e-05,0.000752711033254416,"***"
"k__Bacteria|p__Pseudomonadota|c__Alphaproteobacteria|o__Rhodobacterales|f__Paracoccaceae|g__Hasllibacter","February - September","k__Bacteria|p__Pseudomonadota|c__Alphaproteobacteria|o__Rhodobacterales|f__Paracoccaceae|g__Hasllibacter","LEfSe","September",3.60100508468172,0.000791439375139034,0.00311469689570846,"**"
"k__Bacteria|p__Planctomycetota|c__Planctomycetes|o__Pirellulales|f__Pirellulaceae|g__Pir4_lineage","February - September","k__Bacteria|p__Planctomycetota|c__Planctomycetes|o__Pirellulales|f__Pirellulaceae|g__Pir4_lineage","LEfSe","February",3.58609337460995,0.00267442896968955,0.00757745294596412,"**"
"k__Bacteria|p__Actinomycetota|c__Actinobacteria|o__Euzebyales|f__Euzebyaceae|g__Euzebya","February - September","k__Bacteria|p__Actinomycetota|c__Actinobacteria|o__Euzebyales|f__Euzebyaceae|g__Euzebya","LEfSe","September",3.57636265651841,0.00265724575054484,0.00757745294596412,"**"
"k__Bacteria|p__Pseudomonadota|c__Alphaproteobacteria|o__Rhodobacterales|f__Paracoccaceae|g__Maribius","February - September","k__Bacteria|p__Pseudomonadota|c__Alphaproteobacteria|o__Rhodobacterales|f__Paracoccaceae|g__Maribius","LEfSe","September",3.57382691156969,0.000790971510514833,0.00311469689570846,"**"
"k__Bacteria|p__Pseudomonadota|c__Alphaproteobacteria|o__Hyphomicrobiales|f__Rhizobiaceae|g__Aurantimonas","February - September","k__Bacteria|p__Pseudomonadota|c__Alphaproteobacteria|o__Hyphomicrobiales|f__Rhizobiaceae|g__Aurantimonas","LEfSe","September",3.56598463268296,0.00270179674712655,0.00757745294596412,"**"
"k__Bacteria|p__Verrucomicrobiota|c__Verrucomicrobiia|o__Verrucomicrobiales|f__Rubritaleaceae","February - September","k__Bacteria|p__Verrucomicrobiota|c__Verrucomicrobiia|o__Verrucomicrobiales|f__Rubritaleaceae","LEfSe","February",3.56168729256875,0.000258967155169405,0.00157969964653337,"**"
"k__Bacteria|p__Chloroflexota|c__Anaerolineae|o__Anaerolineales","February - September","k__Bacteria|p__Chloroflexota|c__Anaerolineae|o__Anaerolineales","LEfSe","February",3.50529229783225,0.00149260730642088,0.00507033453747105,"**"
"k__Bacteria|p__Chloroflexota|c__Anaerolineae|o__Anaerolineales|f__Anaerolineaceae","February - September","k__Bacteria|p__Chloroflexota|c__Anaerolineae|o__Anaerolineales|f__Anaerolineaceae","LEfSe","February",3.50529229783225,0.00149260730642088,0.00507033453747105,"**"
"k__Bacteria|p__Planctomycetota|c__Planctomycetes|o__Pirellulales|f__Pirellulaceae|g__Rhodopirellula","February - September","k__Bacteria|p__Planctomycetota|c__Planctomycetes|o__Pirellulales|f__Pirellulaceae|g__Rhodopirellula","LEfSe","February",3.503709193084,0.00018770536126159,0.00123784076075211,"**"
"k__Bacteria|p__Planctomycetota|c__Planctomycetes|o__Planctomycetales|f__Gimesiaceae","February - September","k__Bacteria|p__Planctomycetota|c__Planctomycetes|o__Planctomycetales|f__Gimesiaceae","LEfSe","February",3.48789927755447,0.000431785563951712,0.00195103106674477,"**"
"k__Bacteria|p__Verrucomicrobiota|c__Verrucomicrobiia|o__Opitutales","February - September","k__Bacteria|p__Verrucomicrobiota|c__Verrucomicrobiia|o__Opitutales","LEfSe","February",3.48575989193962,0.00310272947591852,0.00850635946206875,"**"
"k__Bacteria|p__Verrucomicrobiota|c__Verrucomicrobiia|o__Opitutales|f__Puniceicoccaceae","February - September","k__Bacteria|p__Verrucomicrobiota|c__Verrucomicrobiia|o__Opitutales|f__Puniceicoccaceae","LEfSe","February",3.48575989193962,0.00310272947591852,0.00850635946206875,"**"
"k__Bacteria|p__Actinomycetota|c__Actinobacteria|o__Frankiales|f__Geodermatophilaceae","February - September","k__Bacteria|p__Actinomycetota|c__Actinobacteria|o__Frankiales|f__Geodermatophilaceae","LEfSe","September",3.45848988737753,0.00116500979265238,0.00444159983448721,"**"
"k__Bacteria|p__Actinomycetota|c__Actinobacteria|o__Frankiales|f__Geodermatophilaceae|g__Geodermatophilus","February - September","k__Bacteria|p__Actinomycetota|c__Actinobacteria|o__Frankiales|f__Geodermatophilaceae|g__Geodermatophilus","LEfSe","September",3.45848988737753,0.00116500979265238,0.00444159983448721,"**"
"k__Bacteria|p__Actinomycetota|c__Actinobacteria|o__Frankiales","February - September","k__Bacteria|p__Actinomycetota|c__Actinobacteria|o__Frankiales","LEfSe","September",3.44589157550529,0.000129615488793703,0.000958369068656473,"***"
"k__Bacteria|p__Pseudomonadota|c__Alphaproteobacteria|o__Rhodobacterales|f__Paracoccaceae|g__Marivita","February - September","k__Bacteria|p__Pseudomonadota|c__Alphaproteobacteria|o__Rhodobacterales|f__Paracoccaceae|g__Marivita","LEfSe","February",3.44024744913784,0.00226249290776491,0.00665118396981491,"**"
"k__Bacteria|p__Bacteroidota|c__Bacteroidia|o__Bacteroidales|f__Bacteroidetes_BD2-2","February - September","k__Bacteria|p__Bacteroidota|c__Bacteroidia|o__Bacteroidales|f__Bacteroidetes_BD2-2","LEfSe","February",3.40298860317865,0.0018244605307049,0.00601578877691885,"**"
"k__Bacteria|p__Verrucomicrobiota|c__Verrucomicrobiia|o__Verrucomicrobiales|f__DEV007","February - September","k__Bacteria|p__Verrucomicrobiota|c__Verrucomicrobiia|o__Verrucomicrobiales|f__DEV007","LEfSe","February",3.37157882952656,0.000770203930675556,0.00311469689570846,"**"
"k__Bacteria|p__Verrucomicrobiota|c__Verrucomicrobiia|o__Verrucomicrobiales|f__Rubritaleaceae|g__Roseibacillus","February - September","k__Bacteria|p__Verrucomicrobiota|c__Verrucomicrobiia|o__Verrucomicrobiales|f__Rubritaleaceae|g__Roseibacillus","LEfSe","February",3.36470903477592,0.00226249290776491,0.00665118396981491,"**"
"k__Bacteria|p__Verrucomicrobiota|c__Verrucomicrobiia|o__Verrucomicrobiales|f__Rubritaleaceae|g__Haloferula","February - September","k__Bacteria|p__Verrucomicrobiota|c__Verrucomicrobiia|o__Verrucomicrobiales|f__Rubritaleaceae|g__Haloferula","LEfSe","February",3.34960516852031,0.000563483339703795,0.00237051611875389,"**"
"k__Bacteria|p__Actinomycetota|c__Actinobacteria|o__Frankiales|f__Sporichthyaceae","February - September","k__Bacteria|p__Actinomycetota|c__Actinobacteria|o__Frankiales|f__Sporichthyaceae","LEfSe","September",3.34737120420309,0.000109852370108583,0.000837624322077946,"***"
"k__Bacteria|p__Actinomycetota|c__Actinobacteria|o__Frankiales|f__Sporichthyaceae|g__Sporichthya","February - September","k__Bacteria|p__Actinomycetota|c__Actinobacteria|o__Frankiales|f__Sporichthyaceae|g__Sporichthya","LEfSe","September",3.34737120420309,0.000109852370108583,0.000837624322077946,"***"
"k__Bacteria|p__Actinomycetota|c__Acidimicrobiia|o__Microtrichales|f__Iamiaceae","February - September","k__Bacteria|p__Actinomycetota|c__Acidimicrobiia|o__Microtrichales|f__Iamiaceae","LEfSe","September",3.30482181055056,0.000290125010637383,0.00168548815703622,"**"
"k__Bacteria|p__Actinomycetota|c__Acidimicrobiia|o__Microtrichales|f__Iamiaceae|g__Iamia","February - September","k__Bacteria|p__Actinomycetota|c__Acidimicrobiia|o__Microtrichales|f__Iamiaceae|g__Iamia","LEfSe","September",3.30482181055056,0.000290125010637383,0.00168548815703622,"**"
"k__Bacteria|p__Thermodesulfobacteriota|c__Desulfobacteria|o__Desulfobacterales|f__Desulfosarcinaceae|g__Sva0081_sediment_group","February - September","k__Bacteria|p__Thermodesulfobacteriota|c__Desulfobacteria|o__Desulfobacterales|f__Desulfosarcinaceae|g__Sva0081_sediment_group","LEfSe","February",3.29532896778289,6.68617526877065e-05,0.000752470518322826,"***"
"k__Bacteria|p__Pseudomonadota|c__Gammaproteobacteria|o__Salinisphaerales","February - September","k__Bacteria|p__Pseudomonadota|c__Gammaproteobacteria|o__Salinisphaerales","LEfSe","September",3.25673112256561,1.62868849381811e-05,0.000562183225231056,"***"
"k__Bacteria|p__Pseudomonadota|c__Gammaproteobacteria|o__Salinisphaerales|f__Salinisphaeraceae","February - September","k__Bacteria|p__Pseudomonadota|c__Gammaproteobacteria|o__Salinisphaerales|f__Salinisphaeraceae","LEfSe","September",3.25673112256561,1.62868849381811e-05,0.000562183225231056,"***"
"k__Bacteria|p__Pseudomonadota|c__Gammaproteobacteria|o__Salinisphaerales|f__Salinisphaeraceae|g__Salinisphaera","February - September","k__Bacteria|p__Pseudomonadota|c__Gammaproteobacteria|o__Salinisphaerales|f__Salinisphaeraceae|g__Salinisphaera","LEfSe","September",3.25673112256561,1.62868849381811e-05,0.000562183225231056,"***"
