"","Method","Taxa","Factors","Df","Fvalue","P.unadj","Significance"
"26","anova formula for season+site","k__Bacteria|p__Planctomycetota","site",1,2.28074913614416,0.145889723210804,"ns"
"27","anova formula for season+site","k__Bacteria|p__Planctomycetota","Residuals",21,NA,NA,NA
"28","anova formula for season+site","k__Bacteria|p__Chloroflexota","season",1,13.4150150943217,0.00145123520562454,"**"
"29","anova formula for season+site","k__Bacteria|p__Chloroflexota","site",1,1.42170816231623,0.246422181616134,"ns"
"30","anova formula for season+site","k__Bacteria|p__Chloroflexota","Residuals",21,NA,NA,NA
"31","anova formula for season+site","k__Bacteria|p__Verrucomicrobiota","season",1,32.7257017531974,1.11755826794381e-05,"***"
"32","anova formula for season+site","k__Bacteria|p__Verrucomicrobiota","site",1,4.0808385178917,0.0563115440842678,"ns"
"33","anova formula for season+site","k__Bacteria|p__Verrucomicrobiota","Residuals",21,NA,NA,NA
"34","anova formula for season+site","k__Bacteria|p__Acidobacteriota","season",1,16.816129676706,0.000510670928437063,"***"
"35","anova formula for season+site","k__Bacteria|p__Acidobacteriota","site",1,1.1395854187043,0.297858903186676,"ns"
"36","anova formula for season+site","k__Bacteria|p__Acidobacteriota","Residuals",21,NA,NA,NA
"37","anova formula for season+site","k__Bacteria|p__Campylobacterota","season",1,12.2022778905785,0.00216693691788094,"**"
"38","anova formula for season+site","k__Bacteria|p__Campylobacterota","site",1,9.44483704721843,0.00576743515287075,"**"
"39","anova formula for season+site","k__Bacteria|p__Campylobacterota","Residuals",21,NA,NA,NA
"40","anova formula for season+site","k__Bacteria|p__Deinococcota","season",1,0.389834424838594,0.53911113900777,"ns"
"41","anova formula for season+site","k__Bacteria|p__Deinococcota","site",1,0.253407690961296,0.619925302708986,"ns"
"42","anova formula for season+site","k__Bacteria|p__Deinococcota","Residuals",21,NA,NA,NA
"43","anova formula for season+site","k__Bacteria|p__Gemmatimonadota","season",1,2.81138358495087,0.108422249203615,"ns"
"44","anova formula for season+site","k__Bacteria|p__Gemmatimonadota","site",1,0.2348707143631,0.6329520802428,"ns"
"45","anova formula for season+site","k__Bacteria|p__Gemmatimonadota","Residuals",21,NA,NA,NA
"46","anova formula for season+site","k__Bacteria|p__Bacillota","season",1,0.672876779471675,0.4212643052026,"ns"
"47","anova formula for season+site","k__Bacteria|p__Bacillota","site",1,0.00799239928382864,0.929611003465115,"ns"
"48","anova formula for season+site","k__Bacteria|p__Bacillota","Residuals",21,NA,NA,NA
"49","anova formula for season+site","k__Bacteria|p__Balneolota","season",1,0.81457226999005,0.377008096774746,"ns"
"50","anova formula for season+site","k__Bacteria|p__Balneolota","site",1,13.3642244725536,0.00147532643127009,"**"
"51","anova formula for season+site","k__Bacteria|p__Balneolota","Residuals",21,NA,NA,NA
"52","anova formula for season+site","k__Bacteria|p__Pseudomonadota|c__Alphaproteobacteria","season",1,12.6720803374246,0.00185159699737267,"**"
"53","anova formula for season+site","k__Bacteria|p__Pseudomonadota|c__Alphaproteobacteria","site",1,9.71618402720767,0.00521364953919772,"**"
"54","anova formula for season+site","k__Bacteria|p__Pseudomonadota|c__Alphaproteobacteria","Residuals",21,NA,NA,NA
"55","anova formula for season+site","k__Bacteria|p__Bacteroidota|c__Bacteroidia","season",1,71.6906125641773,3.27715040982618e-08,"***"
"56","anova formula for season+site","k__Bacteria|p__Bacteroidota|c__Bacteroidia","site",1,28.1765439535771,2.90590353879428e-05,"***"
"57","anova formula for season+site","k__Bacteria|p__Bacteroidota|c__Bacteroidia","Residuals",21,NA,NA,NA
"58","anova formula for season+site","k__Bacteria|p__Actinomycetota|c__Actinobacteria","season",1,113.293599371877,6.42496337072627e-10,"***"
"59","anova formula for season+site","k__Bacteria|p__Actinomycetota|c__Actinobacteria","site",1,42.3320047633658,1.90744098977957e-06,"***"
"60","anova formula for season+site","k__Bacteria|p__Actinomycetota|c__Actinobacteria","Residuals",21,NA,NA,NA
"61","anova formula for season+site","k__Bacteria|p__Pseudomonadota|c__Gammaproteobacteria","season",1,10.6836464210188,0.00366908801387393,"**"
"62","anova formula for season+site","k__Bacteria|p__Pseudomonadota|c__Gammaproteobacteria","site",1,1.61847829487476,0.21721150555996,"ns"
"63","anova formula for season+site","k__Bacteria|p__Pseudomonadota|c__Gammaproteobacteria","Residuals",21,NA,NA,NA
"64","anova formula for season+site","k__Bacteria|p__Rhodothermota|c__Rhodothermia","season",1,34.535255655776,7.82139834477149e-06,"***"
"65","anova formula for season+site","k__Bacteria|p__Rhodothermota|c__Rhodothermia","site",1,3.93710515079009,0.060454194937972,"ns"
"66","anova formula for season+site","k__Bacteria|p__Rhodothermota|c__Rhodothermia","Residuals",21,NA,NA,NA
"67","anova formula for season+site","k__Bacteria|p__Cyanobacteriota|c__Cyanobacteriia","season",1,1.10313189342723,0.305517039178322,"ns"
"68","anova formula for season+site","k__Bacteria|p__Cyanobacteriota|c__Cyanobacteriia","site",1,39.7345165657083,2.98896016165376e-06,"***"
"69","anova formula for season+site","k__Bacteria|p__Cyanobacteriota|c__Cyanobacteriia","Residuals",21,NA,NA,NA
"70","anova formula for season+site","k__Bacteria|p__Actinomycetota|c__Acidimicrobiia","season",1,0.0938466041636232,0.762359396536784,"ns"
"71","anova formula for season+site","k__Bacteria|p__Actinomycetota|c__Acidimicrobiia","site",1,0.105939500562361,0.748035942551033,"ns"
"72","anova formula for season+site","k__Bacteria|p__Actinomycetota|c__Acidimicrobiia","Residuals",21,NA,NA,NA
"73","anova formula for season+site","k__Bacteria|p__Actinomycetota|c__Rubrobacteria","season",1,17.9248789812065,0.000371507734587244,"***"
"74","anova formula for season+site","k__Bacteria|p__Actinomycetota|c__Rubrobacteria","site",1,1.01183786057134,0.325913593198494,"ns"
"75","anova formula for season+site","k__Bacteria|p__Actinomycetota|c__Rubrobacteria","Residuals",21,NA,NA,NA
"76","anova formula for season+site","k__Bacteria|p__Myxococcota|c__Polyangiia","season",1,0.968766594122547,0.336192962461739,"ns"
"77","anova formula for season+site","k__Bacteria|p__Myxococcota|c__Polyangiia","site",1,23.6922325824943,8.20106538373523e-05,"***"
"78","anova formula for season+site","k__Bacteria|p__Myxococcota|c__Polyangiia","Residuals",21,NA,NA,NA
"79","anova formula for season+site","k__Bacteria|p__Planctomycetota|c__Planctomycetes","season",1,84.3738641441027,8.39348213479485e-09,"***"
"80","anova formula for season+site","k__Bacteria|p__Planctomycetota|c__Planctomycetes","site",1,4.59739801831411,0.0438797002761063,"*"
"81","anova formula for season+site","k__Bacteria|p__Planctomycetota|c__Planctomycetes","Residuals",21,NA,NA,NA
"82","anova formula for season+site","k__Bacteria|p__Chloroflexota|c__Anaerolineae","season",1,13.4150150943217,0.00145123520562454,"**"
"83","anova formula for season+site","k__Bacteria|p__Chloroflexota|c__Anaerolineae","site",1,1.42170816231623,0.246422181616134,"ns"
"84","anova formula for season+site","k__Bacteria|p__Chloroflexota|c__Anaerolineae","Residuals",21,NA,NA,NA
"85","anova formula for season+site","k__Bacteria|p__Thermodesulfobacteriota|c__Desulfobulbia","season",1,45.188984327221,1.18901411044118e-06,"***"
"86","anova formula for season+site","k__Bacteria|p__Thermodesulfobacteriota|c__Desulfobulbia","site",1,5.27317112887532,0.0320469913544389,"*"
"87","anova formula for season+site","k__Bacteria|p__Thermodesulfobacteriota|c__Desulfobulbia","Residuals",21,NA,NA,NA
"88","anova formula for season+site","k__Bacteria|p__Verrucomicrobiota|c__Verrucomicrobiia","season",1,33.4405479249559,9.69182043958395e-06,"***"
"89","anova formula for season+site","k__Bacteria|p__Verrucomicrobiota|c__Verrucomicrobiia","site",1,3.9833580571073,0.0590842205088588,"ns"
"90","anova formula for season+site","k__Bacteria|p__Verrucomicrobiota|c__Verrucomicrobiia","Residuals",21,NA,NA,NA
"91","anova formula for season+site","k__Bacteria|p__Thermodesulfobacteriota|c__Desulfobacteria","season",1,36.1080404740203,5.79133235556288e-06,"***"
"92","anova formula for season+site","k__Bacteria|p__Thermodesulfobacteriota|c__Desulfobacteria","site",1,16.9763773560404,0.000487414474756548,"***"
"93","anova formula for season+site","k__Bacteria|p__Thermodesulfobacteriota|c__Desulfobacteria","Residuals",21,NA,NA,NA
"94","anova formula for season+site","k__Bacteria|p__Acidobacteriota|c__Thermoanaerobaculia","season",1,19.9729553217267,0.000211669182203029,"***"
"95","anova formula for season+site","k__Bacteria|p__Acidobacteriota|c__Thermoanaerobaculia","site",1,1.93861229666743,0.178388880809151,"ns"
"96","anova formula for season+site","k__Bacteria|p__Acidobacteriota|c__Thermoanaerobaculia","Residuals",21,NA,NA,NA
"97","anova formula for season+site","k__Bacteria|p__Campylobacterota|c__Campylobacteria","season",1,12.2022778905785,0.00216693691788094,"**"
"98","anova formula for season+site","k__Bacteria|p__Campylobacterota|c__Campylobacteria","site",1,9.44483704721843,0.00576743515287075,"**"
"99","anova formula for season+site","k__Bacteria|p__Campylobacterota|c__Campylobacteria","Residuals",21,NA,NA,NA
"100","anova formula for season+site","k__Bacteria|p__Deinococcota|c__Deinococci","season",1,0.389834424838594,0.53911113900777,"ns"
"101","anova formula for season+site","k__Bacteria|p__Deinococcota|c__Deinococci","site",1,0.253407690961296,0.619925302708986,"ns"
"102","anova formula for season+site","k__Bacteria|p__Deinococcota|c__Deinococci","Residuals",21,NA,NA,NA
"103","anova formula for season+site","k__Bacteria|p__Actinomycetota|c__Thermoleophilia","season",1,8.59580656769285,0.00796761076727469,"**"
"104","anova formula for season+site","k__Bacteria|p__Actinomycetota|c__Thermoleophilia","site",1,1.95462707678002,0.176682280429234,"ns"
"105","anova formula for season+site","k__Bacteria|p__Actinomycetota|c__Thermoleophilia","Residuals",21,NA,NA,NA
"106","anova formula for season+site","k__Bacteria|p__Gemmatimonadota|c__Longimicrobiia","season",1,2.81138358495087,0.108422249203615,"ns"
"107","anova formula for season+site","k__Bacteria|p__Gemmatimonadota|c__Longimicrobiia","site",1,0.2348707143631,0.6329520802428,"ns"
"108","anova formula for season+site","k__Bacteria|p__Gemmatimonadota|c__Longimicrobiia","Residuals",21,NA,NA,NA
"109","anova formula for season+site","k__Bacteria|p__Balneolota|c__Balneolia","season",1,0.81457226999005,0.377008096774746,"ns"
"110","anova formula for season+site","k__Bacteria|p__Balneolota|c__Balneolia","site",1,13.3642244725536,0.00147532643127009,"**"
"111","anova formula for season+site","k__Bacteria|p__Balneolota|c__Balneolia","Residuals",21,NA,NA,NA
"112","anova formula for season+site","k__Bacteria|p__Bacillota|c__Bacilli","season",1,1.38478396435195,0.25245475091521,"ns"
"113","anova formula for season+site","k__Bacteria|p__Bacillota|c__Bacilli","site",1,3.51382097460734,0.0748378721096838,"ns"
"114","anova formula for season+site","k__Bacteria|p__Bacillota|c__Bacilli","Residuals",21,NA,NA,NA
"115","anova formula for season+site","k__Bacteria|p__Pseudomonadota|c__Alphaproteobacteria|o__Rhodobacterales","season",1,23.502110450324,8.5904936265948e-05,"***"
"116","anova formula for season+site","k__Bacteria|p__Pseudomonadota|c__Alphaproteobacteria|o__Rhodobacterales","site",1,2.13742606634853,0.158547370082914,"ns"
"117","anova formula for season+site","k__Bacteria|p__Pseudomonadota|c__Alphaproteobacteria|o__Rhodobacterales","Residuals",21,NA,NA,NA
"118","anova formula for season+site","k__Bacteria|p__Pseudomonadota|c__Alphaproteobacteria|o__Sphingomonadales","season",1,1.95486651419555,0.17665691727437,"ns"
"119","anova formula for season+site","k__Bacteria|p__Pseudomonadota|c__Alphaproteobacteria|o__Sphingomonadales","site",1,1.19483310871779,0.286737967013131,"ns"
"120","anova formula for season+site","k__Bacteria|p__Pseudomonadota|c__Alphaproteobacteria|o__Sphingomonadales","Residuals",21,NA,NA,NA
"121","anova formula for season+site","k__Bacteria|p__Bacteroidota|c__Bacteroidia|o__Flavobacteriales","season",1,50.8653336985205,4.932403681496e-07,"***"
"122","anova formula for season+site","k__Bacteria|p__Bacteroidota|c__Bacteroidia|o__Flavobacteriales","site",1,3.59593963008103,0.0717637810856152,"ns"
"123","anova formula for season+site","k__Bacteria|p__Bacteroidota|c__Bacteroidia|o__Flavobacteriales","Residuals",21,NA,NA,NA
"124","anova formula for season+site","k__Bacteria|p__Rhodothermota|c__Rhodothermia|o__Rhodothermales","season",1,34.535255655776,7.82139834477149e-06,"***"
"125","anova formula for season+site","k__Bacteria|p__Rhodothermota|c__Rhodothermia|o__Rhodothermales","site",1,3.93710515079009,0.060454194937972,"ns"
"126","anova formula for season+site","k__Bacteria|p__Rhodothermota|c__Rhodothermia|o__Rhodothermales","Residuals",21,NA,NA,NA
"127","anova formula for season+site","k__Bacteria|p__Bacteroidota|c__Bacteroidia|o__Cytophagales","season",1,0.740752422929798,0.399140152538137,"ns"
"128","anova formula for season+site","k__Bacteria|p__Bacteroidota|c__Bacteroidia|o__Cytophagales","site",1,62.2479509784935,1.0280065891339e-07,"***"
"129","anova formula for season+site","k__Bacteria|p__Bacteroidota|c__Bacteroidia|o__Cytophagales","Residuals",21,NA,NA,NA
"130","anova formula for season+site","k__Bacteria|p__Actinomycetota|c__Actinobacteria|o__Euzebyales","season",1,54.4962138629948,2.91414852127237e-07,"***"
"131","anova formula for season+site","k__Bacteria|p__Actinomycetota|c__Actinobacteria|o__Euzebyales","site",1,13.6369383570632,0.00135093768037481,"**"
"132","anova formula for season+site","k__Bacteria|p__Actinomycetota|c__Actinobacteria|o__Euzebyales","Residuals",21,NA,NA,NA
"133","anova formula for season+site","k__Bacteria|p__Cyanobacteriota|c__Cyanobacteriia|o__Cyanobacteriales","season",1,0.407327621091601,0.530228027797317,"ns"
"134","anova formula for season+site","k__Bacteria|p__Cyanobacteriota|c__Cyanobacteriia|o__Cyanobacteriales","site",1,34.8783819084207,7.31961902758909e-06,"***"
"135","anova formula for season+site","k__Bacteria|p__Cyanobacteriota|c__Cyanobacteriia|o__Cyanobacteriales","Residuals",21,NA,NA,NA
"136","anova formula for season+site","k__Bacteria|p__Actinomycetota|c__Actinobacteria|o__Nitriliruptorales","season",1,87.162673349245,6.36179071009187e-09,"***"
"137","anova formula for season+site","k__Bacteria|p__Actinomycetota|c__Actinobacteria|o__Nitriliruptorales","site",1,29.9522659185498,1.98011205346307e-05,"***"
"138","anova formula for season+site","k__Bacteria|p__Actinomycetota|c__Actinobacteria|o__Nitriliruptorales","Residuals",21,NA,NA,NA
"139","anova formula for season+site","k__Bacteria|p__Pseudomonadota|c__Alphaproteobacteria|o__Hyphomicrobiales","season",1,33.059224841357,1.04544274207554e-05,"***"
"140","anova formula for season+site","k__Bacteria|p__Pseudomonadota|c__Alphaproteobacteria|o__Hyphomicrobiales","site",1,27.1177494228691,3.67827547468985e-05,"***"
"141","anova formula for season+site","k__Bacteria|p__Pseudomonadota|c__Alphaproteobacteria|o__Hyphomicrobiales","Residuals",21,NA,NA,NA
"142","anova formula for season+site","k__Bacteria|p__Bacteroidota|c__Bacteroidia|o__Chitinophagales","season",1,0.181150396128397,0.674716623055873,"ns"
"143","anova formula for season+site","k__Bacteria|p__Bacteroidota|c__Bacteroidia|o__Chitinophagales","site",1,2.66570404334784,0.117437780890124,"ns"
"144","anova formula for season+site","k__Bacteria|p__Bacteroidota|c__Bacteroidia|o__Chitinophagales","Residuals",21,NA,NA,NA
"145","anova formula for season+site","k__Bacteria|p__Pseudomonadota|c__Gammaproteobacteria|o__Pseudomonadales","season",1,2.67049343953872,0.117127655719289,"ns"
"146","anova formula for season+site","k__Bacteria|p__Pseudomonadota|c__Gammaproteobacteria|o__Pseudomonadales","site",1,27.0404674439702,3.74290067035083e-05,"***"
"147","anova formula for season+site","k__Bacteria|p__Pseudomonadota|c__Gammaproteobacteria|o__Pseudomonadales","Residuals",21,NA,NA,NA
"148","anova formula for season+site","k__Bacteria|p__Actinomycetota|c__Acidimicrobiia|o__Microtrichales","season",1,0.126640473069659,0.725491041842344,"ns"
"149","anova formula for season+site","k__Bacteria|p__Actinomycetota|c__Acidimicrobiia|o__Microtrichales","site",1,0.14368851998131,0.708446964517197,"ns"
"150","anova formula for season+site","k__Bacteria|p__Actinomycetota|c__Acidimicrobiia|o__Microtrichales","Residuals",21,NA,NA,NA
"151","anova formula for season+site","k__Bacteria|p__Actinomycetota|c__Rubrobacteria|o__Rubrobacterales","season",1,17.9248789812065,0.000371507734587244,"***"
"152","anova formula for season+site","k__Bacteria|p__Actinomycetota|c__Rubrobacteria|o__Rubrobacterales","site",1,1.01183786057134,0.325913593198494,"ns"
"153","anova formula for season+site","k__Bacteria|p__Actinomycetota|c__Rubrobacteria|o__Rubrobacterales","Residuals",21,NA,NA,NA
"154","anova formula for season+site","k__Bacteria|p__Actinomycetota|c__Actinobacteria|o__Propionibacteriales","season",1,30.8237471443071,1.64869385496392e-05,"***"
"155","anova formula for season+site","k__Bacteria|p__Actinomycetota|c__Actinobacteria|o__Propionibacteriales","site",1,74.2626597489837,2.44993331575502e-08,"***"
"156","anova formula for season+site","k__Bacteria|p__Actinomycetota|c__Actinobacteria|o__Propionibacteriales","Residuals",21,NA,NA,NA
"157","anova formula for season+site","k__Bacteria|p__Pseudomonadota|c__Gammaproteobacteria|o__Enterobacterales","season",1,0.303981866493251,0.58721598550621,"ns"
"158","anova formula for season+site","k__Bacteria|p__Pseudomonadota|c__Gammaproteobacteria|o__Enterobacterales","site",1,5.59028215495978,0.0277709186401682,"*"
"159","anova formula for season+site","k__Bacteria|p__Pseudomonadota|c__Gammaproteobacteria|o__Enterobacterales","Residuals",21,NA,NA,NA
"160","anova formula for season+site","k__Bacteria|p__Myxococcota|c__Polyangiia|o__Polyangiales","season",1,0.470686163872485,0.500176856617375,"ns"
"161","anova formula for season+site","k__Bacteria|p__Myxococcota|c__Polyangiia|o__Polyangiales","site",1,27.160702608635,3.64288692089106e-05,"***"
"162","anova formula for season+site","k__Bacteria|p__Myxococcota|c__Polyangiia|o__Polyangiales","Residuals",21,NA,NA,NA
"163","anova formula for season+site","k__Bacteria|p__Thermodesulfobacteriota|c__Desulfobulbia|o__Desulfobulbales","season",1,45.188984327221,1.18901411044118e-06,"***"
"164","anova formula for season+site","k__Bacteria|p__Thermodesulfobacteriota|c__Desulfobulbia|o__Desulfobulbales","site",1,5.27317112887532,0.0320469913544389,"*"
"165","anova formula for season+site","k__Bacteria|p__Thermodesulfobacteriota|c__Desulfobulbia|o__Desulfobulbales","Residuals",21,NA,NA,NA
"166","anova formula for season+site","k__Bacteria|p__Planctomycetota|c__Planctomycetes|o__Pirellulales","season",1,88.9486828055604,5.34731818294316e-09,"***"
"167","anova formula for season+site","k__Bacteria|p__Planctomycetota|c__Planctomycetes|o__Pirellulales","site",1,1.44982139230522,0.24195341821842,"ns"
"168","anova formula for season+site","k__Bacteria|p__Planctomycetota|c__Planctomycetes|o__Pirellulales","Residuals",21,NA,NA,NA
"169","anova formula for season+site","k__Bacteria|p__Actinomycetota|c__Actinobacteria|o__Micrococcales","season",1,18.5764742883047,0.000309568283623908,"***"
"170","anova formula for season+site","k__Bacteria|p__Actinomycetota|c__Actinobacteria|o__Micrococcales","site",1,3.932059502727,0.0606058297146836,"ns"
"171","anova formula for season+site","k__Bacteria|p__Actinomycetota|c__Actinobacteria|o__Micrococcales","Residuals",21,NA,NA,NA
"172","anova formula for season+site","k__Bacteria|p__Bacteroidota|c__Bacteroidia|o__Bacteroidales","season",1,20.0855543242903,0.000205405239182269,"***"
"173","anova formula for season+site","k__Bacteria|p__Bacteroidota|c__Bacteroidia|o__Bacteroidales","site",1,19.6038473070077,0.00023372040109131,"***"
"174","anova formula for season+site","k__Bacteria|p__Bacteroidota|c__Bacteroidia|o__Bacteroidales","Residuals",21,NA,NA,NA
"175","anova formula for season+site","k__Bacteria|p__Pseudomonadota|c__Gammaproteobacteria|o__Steroidobacterales","season",1,51.8222690612474,4.28249883656648e-07,"***"
"176","anova formula for season+site","k__Bacteria|p__Pseudomonadota|c__Gammaproteobacteria|o__Steroidobacterales","site",1,2.55524794205475,0.12486707854502,"ns"
"177","anova formula for season+site","k__Bacteria|p__Pseudomonadota|c__Gammaproteobacteria|o__Steroidobacterales","Residuals",21,NA,NA,NA
"178","anova formula for season+site","k__Bacteria|p__Pseudomonadota|c__Alphaproteobacteria|o__Caulobacterales","season",1,2.79894961426747,0.10915913891933,"ns"
"179","anova formula for season+site","k__Bacteria|p__Pseudomonadota|c__Alphaproteobacteria|o__Caulobacterales","site",1,7.78190247064663,0.0109824926864609,"*"
"180","anova formula for season+site","k__Bacteria|p__Pseudomonadota|c__Alphaproteobacteria|o__Caulobacterales","Residuals",21,NA,NA,NA
"181","anova formula for season+site","k__Bacteria|p__Thermodesulfobacteriota|c__Desulfobacteria|o__Desulfobacterales","season",1,37.6907457732306,4.3167374383959e-06,"***"
"182","anova formula for season+site","k__Bacteria|p__Thermodesulfobacteriota|c__Desulfobacteria|o__Desulfobacterales","site",1,16.7412595804384,0.000521952727979611,"***"
"183","anova formula for season+site","k__Bacteria|p__Thermodesulfobacteriota|c__Desulfobacteria|o__Desulfobacterales","Residuals",21,NA,NA,NA
"184","anova formula for season+site","k__Bacteria|p__Chloroflexota|c__Anaerolineae|o__Aggregatilineales","season",1,4.08594289301358,0.0561705055784028,"ns"
"185","anova formula for season+site","k__Bacteria|p__Chloroflexota|c__Anaerolineae|o__Aggregatilineales","site",1,23.8530459905753,7.88677271267053e-05,"***"
"186","anova formula for season+site","k__Bacteria|p__Chloroflexota|c__Anaerolineae|o__Aggregatilineales","Residuals",21,NA,NA,NA
"187","anova formula for season+site","k__Bacteria|p__Acidobacteriota|c__Thermoanaerobaculia|o__Thermoanaerobaculales","season",1,19.9729553217267,0.000211669182203029,"***"
"188","anova formula for season+site","k__Bacteria|p__Acidobacteriota|c__Thermoanaerobaculia|o__Thermoanaerobaculales","site",1,1.93861229666743,0.178388880809151,"ns"
"189","anova formula for season+site","k__Bacteria|p__Acidobacteriota|c__Thermoanaerobaculia|o__Thermoanaerobaculales","Residuals",21,NA,NA,NA
"190","anova formula for season+site","k__Bacteria|p__Pseudomonadota|c__Gammaproteobacteria|o__Chromatiales","season",1,13.6801869698169,0.00133229482716202,"**"
"191","anova formula for season+site","k__Bacteria|p__Pseudomonadota|c__Gammaproteobacteria|o__Chromatiales","site",1,1.38010548404451,0.253232702689969,"ns"
"192","anova formula for season+site","k__Bacteria|p__Pseudomonadota|c__Gammaproteobacteria|o__Chromatiales","Residuals",21,NA,NA,NA
"193","anova formula for season+site","k__Bacteria|p__Verrucomicrobiota|c__Verrucomicrobiia|o__Verrucomicrobiales","season",1,26.6678138981129,4.0725164082343e-05,"***"
"194","anova formula for season+site","k__Bacteria|p__Verrucomicrobiota|c__Verrucomicrobiia|o__Verrucomicrobiales","site",1,7.09809221377534,0.0145144322397864,"*"
"195","anova formula for season+site","k__Bacteria|p__Verrucomicrobiota|c__Verrucomicrobiia|o__Verrucomicrobiales","Residuals",21,NA,NA,NA
"196","anova formula for season+site","k__Bacteria|p__Cyanobacteriota|c__Cyanobacteriia|o__Phormidesmiales","season",1,10.9123065876609,0.00338303996061439,"**"
"197","anova formula for season+site","k__Bacteria|p__Cyanobacteriota|c__Cyanobacteriia|o__Phormidesmiales","site",1,28.8478049767843,2.50943531050474e-05,"***"
"198","anova formula for season+site","k__Bacteria|p__Cyanobacteriota|c__Cyanobacteriia|o__Phormidesmiales","Residuals",21,NA,NA,NA
"199","anova formula for season+site","k__Bacteria|p__Planctomycetota|c__Planctomycetes|o__Planctomycetales","season",1,33.5573302137485,9.47063342202373e-06,"***"
"200","anova formula for season+site","k__Bacteria|p__Planctomycetota|c__Planctomycetes|o__Planctomycetales","site",1,6.79973284290842,0.0164388959763695,"*"
"201","anova formula for season+site","k__Bacteria|p__Planctomycetota|c__Planctomycetes|o__Planctomycetales","Residuals",21,NA,NA,NA
"202","anova formula for season+site","k__Bacteria|p__Campylobacterota|c__Campylobacteria|o__Campylobacterales","season",1,12.2022778905785,0.00216693691788094,"**"
"203","anova formula for season+site","k__Bacteria|p__Campylobacterota|c__Campylobacteria|o__Campylobacterales","site",1,9.44483704721843,0.00576743515287075,"**"
"204","anova formula for season+site","k__Bacteria|p__Campylobacterota|c__Campylobacteria|o__Campylobacterales","Residuals",21,NA,NA,NA
"205","anova formula for season+site","k__Bacteria|p__Pseudomonadota|c__Alphaproteobacteria|o__Kiloniellales","season",1,9.68555319009663,0.00527311345242072,"**"
"206","anova formula for season+site","k__Bacteria|p__Pseudomonadota|c__Alphaproteobacteria|o__Kiloniellales","site",1,9.21541513757353,0.00628672608243742,"**"
"207","anova formula for season+site","k__Bacteria|p__Pseudomonadota|c__Alphaproteobacteria|o__Kiloniellales","Residuals",21,NA,NA,NA
"208","anova formula for season+site","k__Bacteria|p__Deinococcota|c__Deinococci|o__Deinococcales","season",1,0.389834424838594,0.53911113900777,"ns"
"209","anova formula for season+site","k__Bacteria|p__Deinococcota|c__Deinococci|o__Deinococcales","site",1,0.253407690961296,0.619925302708986,"ns"
"210","anova formula for season+site","k__Bacteria|p__Deinococcota|c__Deinococci|o__Deinococcales","Residuals",21,NA,NA,NA
