"","Taxa","Method","Group","Letter","Significance"
"45","k__Bacteria|p__Cyanobacteriota|c__Cyanobacteriia","anova","February","a","a"
"46","k__Bacteria|p__Cyanobacteriota|c__Cyanobacteriia","anova","September","a","a"
"47","k__Bacteria|p__Actinomycetota|c__Acidimicrobiia","anova","February","a","a"
"48","k__Bacteria|p__Actinomycetota|c__Acidimicrobiia","anova","September","a","a"
"49","k__Bacteria|p__Actinomycetota|c__Rubrobacteria","anova","September","a","a"
"50","k__Bacteria|p__Actinomycetota|c__Rubrobacteria","anova","February","b","b"
"51","k__Bacteria|p__Myxococcota|c__Polyangiia","anova","February","a","a"
"52","k__Bacteria|p__Myxococcota|c__Polyangiia","anova","September","a","a"
"53","k__Bacteria|p__Planctomycetota|c__Planctomycetes","anova","February","a","a"
"54","k__Bacteria|p__Planctomycetota|c__Planctomycetes","anova","September","b","b"
"55","k__Bacteria|p__Chloroflexota|c__Anaerolineae","anova","February","a","a"
"56","k__Bacteria|p__Chloroflexota|c__Anaerolineae","anova","September","b","b"
"57","k__Bacteria|p__Thermodesulfobacteriota|c__Desulfobulbia","anova","February","a","a"
"58","k__Bacteria|p__Thermodesulfobacteriota|c__Desulfobulbia","anova","September","b","b"
"59","k__Bacteria|p__Verrucomicrobiota|c__Verrucomicrobiia","anova","February","a","a"
"60","k__Bacteria|p__Verrucomicrobiota|c__Verrucomicrobiia","anova","September","b","b"
"61","k__Bacteria|p__Thermodesulfobacteriota|c__Desulfobacteria","anova","February","a","a"
"62","k__Bacteria|p__Thermodesulfobacteriota|c__Desulfobacteria","anova","September","b","b"
"63","k__Bacteria|p__Acidobacteriota|c__Thermoanaerobaculia","anova","February","a","a"
"64","k__Bacteria|p__Acidobacteriota|c__Thermoanaerobaculia","anova","September","b","b"
"65","k__Bacteria|p__Campylobacterota|c__Campylobacteria","anova","February","a","a"
"66","k__Bacteria|p__Campylobacterota|c__Campylobacteria","anova","September","b","b"
"67","k__Bacteria|p__Deinococcota|c__Deinococci","anova","September","a","a"
"68","k__Bacteria|p__Deinococcota|c__Deinococci","anova","February","a","a"
"69","k__Bacteria|p__Actinomycetota|c__Thermoleophilia","anova","September","a","a"
"70","k__Bacteria|p__Actinomycetota|c__Thermoleophilia","anova","February","b","b"
"71","k__Bacteria|p__Gemmatimonadota|c__Longimicrobiia","anova","September","a","a"
"72","k__Bacteria|p__Gemmatimonadota|c__Longimicrobiia","anova","February","a","a"
"73","k__Bacteria|p__Balneolota|c__Balneolia","anova","February","a","a"
"74","k__Bacteria|p__Balneolota|c__Balneolia","anova","September","a","a"
"75","k__Bacteria|p__Bacillota|c__Bacilli","anova","September","a","a"
"76","k__Bacteria|p__Bacillota|c__Bacilli","anova","February","a","a"
"77","k__Bacteria|p__Pseudomonadota|c__Alphaproteobacteria|o__Rhodobacterales","anova","September","a","a"
"78","k__Bacteria|p__Pseudomonadota|c__Alphaproteobacteria|o__Rhodobacterales","anova","February","b","b"
"79","k__Bacteria|p__Pseudomonadota|c__Alphaproteobacteria|o__Sphingomonadales","anova","February","a","a"
"80","k__Bacteria|p__Pseudomonadota|c__Alphaproteobacteria|o__Sphingomonadales","anova","September","a","a"
"81","k__Bacteria|p__Bacteroidota|c__Bacteroidia|o__Flavobacteriales","anova","February","a","a"
"82","k__Bacteria|p__Bacteroidota|c__Bacteroidia|o__Flavobacteriales","anova","September","b","b"
"83","k__Bacteria|p__Rhodothermota|c__Rhodothermia|o__Rhodothermales","anova","September","a","a"
"84","k__Bacteria|p__Rhodothermota|c__Rhodothermia|o__Rhodothermales","anova","February","b","b"
"85","k__Bacteria|p__Bacteroidota|c__Bacteroidia|o__Cytophagales","anova","February","a","a"
"86","k__Bacteria|p__Bacteroidota|c__Bacteroidia|o__Cytophagales","anova","September","a","a"
"87","k__Bacteria|p__Actinomycetota|c__Actinobacteria|o__Euzebyales","anova","September","a","a"
"88","k__Bacteria|p__Actinomycetota|c__Actinobacteria|o__Euzebyales","anova","February","b","b"
"89","k__Bacteria|p__Cyanobacteriota|c__Cyanobacteriia|o__Cyanobacteriales","anova","February","a","a"
"90","k__Bacteria|p__Cyanobacteriota|c__Cyanobacteriia|o__Cyanobacteriales","anova","September","a","a"
"91","k__Bacteria|p__Actinomycetota|c__Actinobacteria|o__Nitriliruptorales","anova","September","a","a"
"92","k__Bacteria|p__Actinomycetota|c__Actinobacteria|o__Nitriliruptorales","anova","February","b","b"
"93","k__Bacteria|p__Pseudomonadota|c__Alphaproteobacteria|o__Hyphomicrobiales","anova","September","a","a"
"94","k__Bacteria|p__Pseudomonadota|c__Alphaproteobacteria|o__Hyphomicrobiales","anova","February","b","b"
"95","k__Bacteria|p__Bacteroidota|c__Bacteroidia|o__Chitinophagales","anova","February","a","a"
"96","k__Bacteria|p__Bacteroidota|c__Bacteroidia|o__Chitinophagales","anova","September","a","a"
"97","k__Bacteria|p__Pseudomonadota|c__Gammaproteobacteria|o__Pseudomonadales","anova","February","a","a"
"98","k__Bacteria|p__Pseudomonadota|c__Gammaproteobacteria|o__Pseudomonadales","anova","September","a","a"
"99","k__Bacteria|p__Actinomycetota|c__Acidimicrobiia|o__Microtrichales","anova","February","a","a"
"100","k__Bacteria|p__Actinomycetota|c__Acidimicrobiia|o__Microtrichales","anova","September","a","a"
"101","k__Bacteria|p__Actinomycetota|c__Rubrobacteria|o__Rubrobacterales","anova","September","a","a"
"102","k__Bacteria|p__Actinomycetota|c__Rubrobacteria|o__Rubrobacterales","anova","February","b","b"
"103","k__Bacteria|p__Actinomycetota|c__Actinobacteria|o__Propionibacteriales","anova","September","a","a"
"104","k__Bacteria|p__Actinomycetota|c__Actinobacteria|o__Propionibacteriales","anova","February","b","b"
"105","k__Bacteria|p__Pseudomonadota|c__Gammaproteobacteria|o__Enterobacterales","anova","February","a","a"
"106","k__Bacteria|p__Pseudomonadota|c__Gammaproteobacteria|o__Enterobacterales","anova","September","a","a"
"107","k__Bacteria|p__Myxococcota|c__Polyangiia|o__Polyangiales","anova","February","a","a"
"108","k__Bacteria|p__Myxococcota|c__Polyangiia|o__Polyangiales","anova","September","a","a"
"109","k__Bacteria|p__Thermodesulfobacteriota|c__Desulfobulbia|o__Desulfobulbales","anova","February","a","a"
"110","k__Bacteria|p__Thermodesulfobacteriota|c__Desulfobulbia|o__Desulfobulbales","anova","September","b","b"
"111","k__Bacteria|p__Planctomycetota|c__Planctomycetes|o__Pirellulales","anova","February","a","a"
"112","k__Bacteria|p__Planctomycetota|c__Planctomycetes|o__Pirellulales","anova","September","b","b"
"113","k__Bacteria|p__Actinomycetota|c__Actinobacteria|o__Micrococcales","anova","September","a","a"
"114","k__Bacteria|p__Actinomycetota|c__Actinobacteria|o__Micrococcales","anova","February","b","b"
"115","k__Bacteria|p__Bacteroidota|c__Bacteroidia|o__Bacteroidales","anova","February","a","a"
"116","k__Bacteria|p__Bacteroidota|c__Bacteroidia|o__Bacteroidales","anova","September","b","b"
"117","k__Bacteria|p__Pseudomonadota|c__Gammaproteobacteria|o__Steroidobacterales","anova","February","a","a"
"118","k__Bacteria|p__Pseudomonadota|c__Gammaproteobacteria|o__Steroidobacterales","anova","September","b","b"
"119","k__Bacteria|p__Pseudomonadota|c__Alphaproteobacteria|o__Caulobacterales","anova","September","a","a"
"120","k__Bacteria|p__Pseudomonadota|c__Alphaproteobacteria|o__Caulobacterales","anova","February","a","a"
"121","k__Bacteria|p__Thermodesulfobacteriota|c__Desulfobacteria|o__Desulfobacterales","anova","February","a","a"
"122","k__Bacteria|p__Thermodesulfobacteriota|c__Desulfobacteria|o__Desulfobacterales","anova","September","b","b"
"123","k__Bacteria|p__Chloroflexota|c__Anaerolineae|o__Aggregatilineales","anova","February","a","a"
"124","k__Bacteria|p__Chloroflexota|c__Anaerolineae|o__Aggregatilineales","anova","September","a","a"
"125","k__Bacteria|p__Acidobacteriota|c__Thermoanaerobaculia|o__Thermoanaerobaculales","anova","February","a","a"
"126","k__Bacteria|p__Acidobacteriota|c__Thermoanaerobaculia|o__Thermoanaerobaculales","anova","September","b","b"
"127","k__Bacteria|p__Pseudomonadota|c__Gammaproteobacteria|o__Chromatiales","anova","February","a","a"
"128","k__Bacteria|p__Pseudomonadota|c__Gammaproteobacteria|o__Chromatiales","anova","September","b","b"
"129","k__Bacteria|p__Verrucomicrobiota|c__Verrucomicrobiia|o__Verrucomicrobiales","anova","February","a","a"
"130","k__Bacteria|p__Verrucomicrobiota|c__Verrucomicrobiia|o__Verrucomicrobiales","anova","September","b","b"
"131","k__Bacteria|p__Cyanobacteriota|c__Cyanobacteriia|o__Phormidesmiales","anova","February","a","a"
"132","k__Bacteria|p__Cyanobacteriota|c__Cyanobacteriia|o__Phormidesmiales","anova","September","b","b"
"133","k__Bacteria|p__Planctomycetota|c__Planctomycetes|o__Planctomycetales","anova","February","a","a"
"134","k__Bacteria|p__Planctomycetota|c__Planctomycetes|o__Planctomycetales","anova","September","b","b"
"135","k__Bacteria|p__Campylobacterota|c__Campylobacteria|o__Campylobacterales","anova","February","a","a"
"136","k__Bacteria|p__Campylobacterota|c__Campylobacteria|o__Campylobacterales","anova","September","b","b"
"137","k__Bacteria|p__Pseudomonadota|c__Alphaproteobacteria|o__Kiloniellales","anova","February","a","a"
"138","k__Bacteria|p__Pseudomonadota|c__Alphaproteobacteria|o__Kiloniellales","anova","September","b","b"
"139","k__Bacteria|p__Deinococcota|c__Deinococci|o__Deinococcales","anova","September","a","a"
"140","k__Bacteria|p__Deinococcota|c__Deinococci|o__Deinococcales","anova","February","a","a"
"141","k__Bacteria|p__Chloroflexota|c__Anaerolineae|o__Anaerolineales","anova","February","a","a"
"142","k__Bacteria|p__Chloroflexota|c__Anaerolineae|o__Anaerolineales","anova","September","b","b"
"143","k__Bacteria|p__Chloroflexota|c__Anaerolineae|o__Caldilineales","anova","February","a","a"
"144","k__Bacteria|p__Chloroflexota|c__Anaerolineae|o__Caldilineales","anova","September","b","b"
"145","k__Bacteria|p__Actinomycetota|c__Actinobacteria|o__Mycobacteriales","anova","September","a","a"
"146","k__Bacteria|p__Actinomycetota|c__Actinobacteria|o__Mycobacteriales","anova","February","a","a"
"147","k__Bacteria|p__Actinomycetota|c__Actinobacteria|o__Frankiales","anova","September","a","a"
"148","k__Bacteria|p__Actinomycetota|c__Actinobacteria|o__Frankiales","anova","February","b","b"
"149","k__Bacteria|p__Verrucomicrobiota|c__Verrucomicrobiia|o__Opitutales","anova","February","a","a"
"150","k__Bacteria|p__Verrucomicrobiota|c__Verrucomicrobiia|o__Opitutales","anova","September","b","b"
"151","k__Bacteria|p__Actinomycetota|c__Thermoleophilia|o__Solirubrobacterales","anova","September","a","a"
"152","k__Bacteria|p__Actinomycetota|c__Thermoleophilia|o__Solirubrobacterales","anova","February","b","b"
"153","k__Bacteria|p__Gemmatimonadota|c__Longimicrobiia|o__Longimicrobiales","anova","September","a","a"
"154","k__Bacteria|p__Gemmatimonadota|c__Longimicrobiia|o__Longimicrobiales","anova","February","a","a"
"155","k__Bacteria|p__Balneolota|c__Balneolia|o__Balneolales","anova","February","a","a"
"156","k__Bacteria|p__Balneolota|c__Balneolia|o__Balneolales","anova","September","a","a"
"157","k__Bacteria|p__Pseudomonadota|c__Gammaproteobacteria|o__Ectothiorhodospirales","anova","February","a","a"
"158","k__Bacteria|p__Pseudomonadota|c__Gammaproteobacteria|o__Ectothiorhodospirales","anova","September","a","a"
"159","k__Bacteria|p__Cyanobacteriota|c__Cyanobacteriia|o__Synechococcales","anova","February","a","a"
"160","k__Bacteria|p__Cyanobacteriota|c__Cyanobacteriia|o__Synechococcales","anova","September","a","a"
"161","k__Bacteria|p__Pseudomonadota|c__Gammaproteobacteria|o__Salinisphaerales","anova","September","a","a"
"162","k__Bacteria|p__Pseudomonadota|c__Gammaproteobacteria|o__Salinisphaerales","anova","February","b","b"
"163","k__Bacteria|p__Bacillota|c__Bacilli|o__Bacillales","anova","September","a","a"
"164","k__Bacteria|p__Bacillota|c__Bacilli|o__Bacillales","anova","February","a","a"
"165","k__Bacteria|p__Pseudomonadota|c__Alphaproteobacteria|o__Rhodobacterales|f__Paracoccaceae","anova","September","a","a"
"166","k__Bacteria|p__Pseudomonadota|c__Alphaproteobacteria|o__Rhodobacterales|f__Paracoccaceae","anova","February","b","b"
"167","k__Bacteria|p__Pseudomonadota|c__Alphaproteobacteria|o__Sphingomonadales|f__Sphingomonadaceae","anova","February","a","a"
"168","k__Bacteria|p__Pseudomonadota|c__Alphaproteobacteria|o__Sphingomonadales|f__Sphingomonadaceae","anova","September","a","a"
"169","k__Bacteria|p__Bacteroidota|c__Bacteroidia|o__Flavobacteriales|f__Flavobacteriaceae","anova","February","a","a"
"170","k__Bacteria|p__Bacteroidota|c__Bacteroidia|o__Flavobacteriales|f__Flavobacteriaceae","anova","September","b","b"
"171","k__Bacteria|p__Rhodothermota|c__Rhodothermia|o__Rhodothermales|f__Rhodothermaceae","anova","September","a","a"
"172","k__Bacteria|p__Rhodothermota|c__Rhodothermia|o__Rhodothermales|f__Rhodothermaceae","anova","February","b","b"
"173","k__Bacteria|p__Bacteroidota|c__Bacteroidia|o__Cytophagales|f__Cyclobacteriaceae","anova","February","a","a"
"174","k__Bacteria|p__Bacteroidota|c__Bacteroidia|o__Cytophagales|f__Cyclobacteriaceae","anova","September","a","a"
"175","k__Bacteria|p__Actinomycetota|c__Actinobacteria|o__Euzebyales|f__Euzebyaceae","anova","September","a","a"
"176","k__Bacteria|p__Actinomycetota|c__Actinobacteria|o__Euzebyales|f__Euzebyaceae","anova","February","b","b"
"177","k__Bacteria|p__Actinomycetota|c__Actinobacteria|o__Nitriliruptorales|f__Nitriliruptoraceae","anova","September","a","a"
"178","k__Bacteria|p__Actinomycetota|c__Actinobacteria|o__Nitriliruptorales|f__Nitriliruptoraceae","anova","February","b","b"
"179","k__Bacteria|p__Cyanobacteriota|c__Cyanobacteriia|o__Cyanobacteriales|f__Nostocaceae","anova","February","a","a"
"180","k__Bacteria|p__Cyanobacteriota|c__Cyanobacteriia|o__Cyanobacteriales|f__Nostocaceae","anova","September","a","a"
"181","k__Bacteria|p__Bacteroidota|c__Bacteroidia|o__Chitinophagales|f__Saprospiraceae","anova","February","a","a"
"182","k__Bacteria|p__Bacteroidota|c__Bacteroidia|o__Chitinophagales|f__Saprospiraceae","anova","September","a","a"
"183","k__Bacteria|p__Pseudomonadota|c__Alphaproteobacteria|o__Hyphomicrobiales|f__Rhizobiaceae","anova","September","a","a"
"184","k__Bacteria|p__Pseudomonadota|c__Alphaproteobacteria|o__Hyphomicrobiales|f__Rhizobiaceae","anova","February","b","b"
"185","k__Bacteria|p__Actinomycetota|c__Acidimicrobiia|o__Microtrichales|f__Ilumatobacteraceae","anova","February","a","a"
"186","k__Bacteria|p__Actinomycetota|c__Acidimicrobiia|o__Microtrichales|f__Ilumatobacteraceae","anova","September","a","a"
"187","k__Bacteria|p__Actinomycetota|c__Rubrobacteria|o__Rubrobacterales|f__Rubrobacteriaceae","anova","September","a","a"
"188","k__Bacteria|p__Actinomycetota|c__Rubrobacteria|o__Rubrobacterales|f__Rubrobacteriaceae","anova","February","b","b"
"189","k__Bacteria|p__Actinomycetota|c__Actinobacteria|o__Propionibacteriales|f__Nocardioidaceae","anova","September","a","a"
"190","k__Bacteria|p__Actinomycetota|c__Actinobacteria|o__Propionibacteriales|f__Nocardioidaceae","anova","February","b","b"
"191","k__Bacteria|p__Myxococcota|c__Polyangiia|o__Polyangiales|f__Sandaracinaceae","anova","February","a","a"
"192","k__Bacteria|p__Myxococcota|c__Polyangiia|o__Polyangiales|f__Sandaracinaceae","anova","September","a","a"
"193","k__Bacteria|p__Cyanobacteriota|c__Cyanobacteriia|o__Cyanobacteriales|f__Xenococcaceae","anova","September","a","a"
"194","k__Bacteria|p__Cyanobacteriota|c__Cyanobacteriia|o__Cyanobacteriales|f__Xenococcaceae","anova","February","a","a"
"195","k__Bacteria|p__Pseudomonadota|c__Gammaproteobacteria|o__Pseudomonadales|f__Cellvibrionaceae","anova","September","a","a"
"196","k__Bacteria|p__Pseudomonadota|c__Gammaproteobacteria|o__Pseudomonadales|f__Cellvibrionaceae","anova","February","a","a"
"197","k__Bacteria|p__Planctomycetota|c__Planctomycetes|o__Pirellulales|f__Pirellulaceae","anova","February","a","a"
"198","k__Bacteria|p__Planctomycetota|c__Planctomycetes|o__Pirellulales|f__Pirellulaceae","anova","September","b","b"
"199","k__Bacteria|p__Pseudomonadota|c__Alphaproteobacteria|o__|f__Neomegalonemataceae","anova","September","a","a"
"200","k__Bacteria|p__Pseudomonadota|c__Alphaproteobacteria|o__|f__Neomegalonemataceae","anova","February","b","b"
"201","k__Bacteria|p__Actinomycetota|c__Actinobacteria|o__Micrococcales|f__Intrasporangiaceae","anova","September","a","a"
"202","k__Bacteria|p__Actinomycetota|c__Actinobacteria|o__Micrococcales|f__Intrasporangiaceae","anova","February","b","b"
"203","k__Bacteria|p__Pseudomonadota|c__Gammaproteobacteria|o__Steroidobacterales|f__Woeseiaceae","anova","February","a","a"
"204","k__Bacteria|p__Pseudomonadota|c__Gammaproteobacteria|o__Steroidobacterales|f__Woeseiaceae","anova","September","b","b"
"205","k__Bacteria|p__Thermodesulfobacteriota|c__Desulfobulbia|o__Desulfobulbales|f__Desulfocapsaceae","anova","February","a","a"
"206","k__Bacteria|p__Thermodesulfobacteriota|c__Desulfobulbia|o__Desulfobulbales|f__Desulfocapsaceae","anova","September","b","b"
"207","k__Bacteria|p__Pseudomonadota|c__Gammaproteobacteria|o__Enterobacterales|f__Vibrionaceae","anova","September","a","a"
"208","k__Bacteria|p__Pseudomonadota|c__Gammaproteobacteria|o__Enterobacterales|f__Vibrionaceae","anova","February","a","a"
"209","k__Bacteria|p__Pseudomonadota|c__Gammaproteobacteria|o__Pseudomonadales|f__Marinobacteraceae","anova","September","a","a"
"210","k__Bacteria|p__Pseudomonadota|c__Gammaproteobacteria|o__Pseudomonadales|f__Marinobacteraceae","anova","February","b","b"
"211","k__Bacteria|p__Chloroflexota|c__Anaerolineae|o__Aggregatilineales|f__A4b","anova","February","a","a"
"212","k__Bacteria|p__Chloroflexota|c__Anaerolineae|o__Aggregatilineales|f__A4b","anova","September","a","a"
"213","k__Bacteria|p__Thermodesulfobacteriota|c__Desulfobacteria|o__Desulfobacterales|f__Desulfosarcinaceae","anova","February","a","a"
"214","k__Bacteria|p__Thermodesulfobacteriota|c__Desulfobacteria|o__Desulfobacterales|f__Desulfosarcinaceae","anova","September","b","b"
"215","k__Bacteria|p__Acidobacteriota|c__Thermoanaerobaculia|o__Thermoanaerobaculales|f__Thermoanaerobaculaceae","anova","February","a","a"
"216","k__Bacteria|p__Acidobacteriota|c__Thermoanaerobaculia|o__Thermoanaerobaculales|f__Thermoanaerobaculaceae","anova","September","b","b"
"217","k__Bacteria|p__Bacteroidota|c__Bacteroidia|o__Bacteroidales|f__Prolixibacteraceae","anova","February","a","a"
"218","k__Bacteria|p__Bacteroidota|c__Bacteroidia|o__Bacteroidales|f__Prolixibacteraceae","anova","September","b","b"
"219","k__Bacteria|p__Pseudomonadota|c__Gammaproteobacteria|o__Chromatiales|f__Chromatiaceae","anova","February","a","a"
"220","k__Bacteria|p__Pseudomonadota|c__Gammaproteobacteria|o__Chromatiales|f__Chromatiaceae","anova","September","b","b"
"221","k__Bacteria|p__Pseudomonadota|c__Gammaproteobacteria|o__Enterobacterales|f__Alteromonadaceae","anova","February","a","a"
"222","k__Bacteria|p__Pseudomonadota|c__Gammaproteobacteria|o__Enterobacterales|f__Alteromonadaceae","anova","September","a","a"
"223","k__Bacteria|p__Cyanobacteriota|c__Cyanobacteriia|o__Phormidesmiales|f__Phormidesmiaceae","anova","February","a","a"
"224","k__Bacteria|p__Cyanobacteriota|c__Cyanobacteriia|o__Phormidesmiales|f__Phormidesmiaceae","anova","September","b","b"
"225","k__Bacteria|p__Pseudomonadota|c__Gammaproteobacteria|o__Pseudomonadales|f__Halieaceae","anova","February","a","a"
"226","k__Bacteria|p__Pseudomonadota|c__Gammaproteobacteria|o__Pseudomonadales|f__Halieaceae","anova","September","b","b"
"227","k__Bacteria|p__Campylobacterota|c__Campylobacteria|o__Campylobacterales|f__Sulfurovaceae","anova","February","a","a"
"228","k__Bacteria|p__Campylobacterota|c__Campylobacteria|o__Campylobacterales|f__Sulfurovaceae","anova","September","b","b"
"229","k__Bacteria|p__Pseudomonadota|c__Alphaproteobacteria|o__Kiloniellales|f__Kiloniellaceae","anova","February","a","a"
"230","k__Bacteria|p__Pseudomonadota|c__Alphaproteobacteria|o__Kiloniellales|f__Kiloniellaceae","anova","September","b","b"
"231","k__Bacteria|p__Verrucomicrobiota|c__Verrucomicrobiia|o__Verrucomicrobiales|f__Rubritaleaceae","anova","February","a","a"
"232","k__Bacteria|p__Verrucomicrobiota|c__Verrucomicrobiia|o__Verrucomicrobiales|f__Rubritaleaceae","anova","September","b","b"
"233","k__Bacteria|p__Pseudomonadota|c__Alphaproteobacteria|o__Caulobacterales|f__Parvularculaceae","anova","September","a","a"
"234","k__Bacteria|p__Pseudomonadota|c__Alphaproteobacteria|o__Caulobacterales|f__Parvularculaceae","anova","February","b","b"
"235","k__Bacteria|p__Actinomycetota|c__Acidimicrobiia|o__Microtrichales|f__Microtrichaceae","anova","February","a","a"
"236","k__Bacteria|p__Actinomycetota|c__Acidimicrobiia|o__Microtrichales|f__Microtrichaceae","anova","September","a","a"
"237","k__Bacteria|p__Thermodesulfobacteriota|c__Desulfobulbia|o__Desulfobulbales|f__Desulfobulbaceae","anova","February","a","a"
"238","k__Bacteria|p__Thermodesulfobacteriota|c__Desulfobulbia|o__Desulfobulbales|f__Desulfobulbaceae","anova","September","b","b"
"239","k__Bacteria|p__Deinococcota|c__Deinococci|o__Deinococcales|f__Trueperaceae","anova","September","a","a"
"240","k__Bacteria|p__Deinococcota|c__Deinococci|o__Deinococcales|f__Trueperaceae","anova","February","a","a"
"241","k__Bacteria|p__Chloroflexota|c__Anaerolineae|o__Anaerolineales|f__Anaerolineaceae","anova","February","a","a"
"242","k__Bacteria|p__Chloroflexota|c__Anaerolineae|o__Anaerolineales|f__Anaerolineaceae","anova","September","b","b"
"243","k__Bacteria|p__Chloroflexota|c__Anaerolineae|o__Caldilineales|f__Caldilineaceae","anova","February","a","a"
"244","k__Bacteria|p__Chloroflexota|c__Anaerolineae|o__Caldilineales|f__Caldilineaceae","anova","September","b","b"
"245","k__Bacteria|p__Pseudomonadota|c__Alphaproteobacteria|o__Caulobacterales|f__Hyphomonadaceae","anova","February","a","a"
"246","k__Bacteria|p__Pseudomonadota|c__Alphaproteobacteria|o__Caulobacterales|f__Hyphomonadaceae","anova","September","b","b"
"247","k__Bacteria|p__Actinomycetota|c__Actinobacteria|o__Mycobacteriales|f__Mycobacteriaceae","anova","September","a","a"
"248","k__Bacteria|p__Actinomycetota|c__Actinobacteria|o__Mycobacteriales|f__Mycobacteriaceae","anova","February","a","a"
"249","k__Bacteria|p__Planctomycetota|c__Planctomycetes|o__Planctomycetales|f__Gimesiaceae","anova","February","a","a"
"250","k__Bacteria|p__Planctomycetota|c__Planctomycetes|o__Planctomycetales|f__Gimesiaceae","anova","September","b","b"
"251","k__Bacteria|p__Pseudomonadota|c__Gammaproteobacteria|o__Enterobacterales|f__Pseudoalteromonadaceae","anova","February","a","a"
"252","k__Bacteria|p__Pseudomonadota|c__Gammaproteobacteria|o__Enterobacterales|f__Pseudoalteromonadaceae","anova","September","a","a"
"253","k__Bacteria|p__Pseudomonadota|c__Gammaproteobacteria|o__Pseudomonadales|f__Marinomonadaceae","anova","February","a","a"
"254","k__Bacteria|p__Pseudomonadota|c__Gammaproteobacteria|o__Pseudomonadales|f__Marinomonadaceae","anova","September","a","a"
"255","k__Bacteria|p__Pseudomonadota|c__Gammaproteobacteria|o__Pseudomonadales|f__Spongiibacteraceae","anova","September","a","a"
"256","k__Bacteria|p__Pseudomonadota|c__Gammaproteobacteria|o__Pseudomonadales|f__Spongiibacteraceae","anova","February","a","a"
"257","k__Bacteria|p__Planctomycetota|c__Planctomycetes|o__Planctomycetales|f__Rubinisphaeraceae","anova","February","a","a"
"258","k__Bacteria|p__Planctomycetota|c__Planctomycetes|o__Planctomycetales|f__Rubinisphaeraceae","anova","September","b","b"
"259","k__Bacteria|p__Verrucomicrobiota|c__Verrucomicrobiia|o__Verrucomicrobiales|f__DEV007","anova","February","a","a"
"260","k__Bacteria|p__Verrucomicrobiota|c__Verrucomicrobiia|o__Verrucomicrobiales|f__DEV007","anova","September","b","b"
"261","k__Bacteria|p__Bacteroidota|c__Bacteroidia|o__Bacteroidales|f__Bacteroidetes_BD2-2","anova","February","a","a"
