"","Value","site","season"
"118",0.486238095238095,"EsteroZacatecas","September vs September"
"119",0.656190476190476,"EsteroZacatecas","September vs September"
"120",0.529,"EsteroZacatecas","September vs September"
"121",0.755952380952381,"EsteroZacatecas","September vs September"
"122",0.614619047619048,"EsteroZacatecas","September vs September"
"123",0.490380952380952,"EsteroZacatecas","September vs September"
"124",0.632952380952381,"EsteroZacatecas","September vs September"
"125",0.597238095238095,"EsteroZacatecas","September vs September"
"126",0.490952380952381,"EsteroZacatecas","September vs September"
"127",0.789952380952381,"EsteroZacatecas","September vs September"
"128",0.468571428571429,"EsteroZacatecas","September vs September"
"129",0.406761904761905,"EsteroZacatecas","September vs September"
"130",0.875619047619048,"EsteroZacatecas","September vs September"
"131",0.789285714285714,"EsteroZacatecas","September vs September"
"132",0.454666666666667,"EsteroZacatecas","September vs September"
